"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-15","Israel",1,0,2024-04-14,2024-04-15
2024,1,"DR Congo (Zaire): Islamic State","Government of DR Congo (Zaire)","IS","2024-04-14;2024-04-14","DR Congo (Zaire)",1,0,2024-04-13,2024-04-14
2024,3,"Kashmir insurgents - Civilians","Kashmir insurgents","Civilians","2024-04-17;2024-05-06;2024-04-17","India",1,1,2024-04-17,2024-04-17
2024,1,"India: Kashmir","Government of India","Kashmir insurgents","2024-05-06;2024-04-28;2024-04-25","India",1,0,2024-04-25,2024-04-26
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-29;2024-04-25","Israel",1,8,2024-04-25,2024-04-25
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-25;2024-04-29","Israel",1,3,2024-04-25,2024-04-25
2024,2,"Kuki - Meitei","Kuki","Meitei","2024-05-06;2024-04-13;2024-04-13","India",1,0,2024-04-13,2024-04-13
2024,3,"URDPC - Civilians","URDPC","Civilians","2024-04-16","DR Congo (Zaire)",1,4,2024-04-01,2024-04-16
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-26;2024-04-29","Israel",1,4,2024-04-26,2024-04-26
2024,3,"Government of Israel - Civilians","Government of Israel","Civilians","2024-04-26","Israel",1,1,2024-04-26,2024-04-26
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-26","Israel",1,0,2024-04-26,2024-04-26
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-26","Israel",1,3,2024-04-26,2024-04-26
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-26","Israel",1,0,2024-04-26,2024-04-26
2024,1,"Israel: Palestine","Government of Israel","PIJ","2024-04-27;2024-04-29;2024-05-01","Israel",1,0,2024-04-27,2024-04-27
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-29;2024-04-27","Israel",1,9,2024-04-26,2024-04-26
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-27;2024-04-29","Israel",1,5,2024-04-27,2024-04-27
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-27","Israel",1,3,2024-04-27,2024-04-27
2024,2,"AFC - VDP","AFC","VDP","2024-04-28;2024-04-29","DR Congo (Zaire)",1,2,2024-04-27,2024-04-27
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-27","Israel",1,1,2024-04-27,2024-04-27
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-27","Israel",1,2,2024-04-27,2024-04-27
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-27;2024-04-29","Israel",1,3,2024-04-27,2024-04-27
2024,1,"DR Congo (Zaire): Government","Government of DR Congo (Zaire)","AFC","2024-05-02;2024-04-30;2024-05-02;2024-05-01;2024-04-30","DR Congo (Zaire)",1,3,2024-04-30,2024-05-01
2024,1,"India: Government","Government of India","CPI-Maoist","2024-05-06;2024-04-16;2024-04-16;2024-04-20;2024-04-16","India",1,0,2024-04-16,2024-04-16
2024,1,"India: Government","Government of India","CPI-Maoist","2024-05-06;2024-04-30;2024-04-30","India",1,0,2024-04-30,2024-05-01
2024,3,"CPI-Maoist - Civilians","CPI-Maoist","Civilians","2024-04-26;2024-05-06","India",1,1,2024-04-26,2024-04-26
2024,1,"Israel: Southern Lebanon","Government of Israel","Hezbollah","2024-04-28","Israel",1,1,2024-04-28,2024-04-28
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-28","Israel",1,0,2024-04-28,2024-04-28
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-28;2024-04-29","Israel",1,3,2024-04-28,2024-04-28
2024,1,"Somalia: Government","Government of Somalia","Al-Shabaab","2024-04-17","Somalia",1,0,2024-04-14,2024-04-14
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-05-01","Israel",1,0,2024-04-06,2024-04-06
2024,1,"Afghanistan: Government","Government of Afghanistan","AFF","2024-04-26;2024-04-27","Afghanistan",1,0,2024-04-26,2024-04-26
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-28","Israel",1,6,2024-04-28,2024-04-28
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-28","Israel",1,0,2024-04-28,2024-04-28
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-28","Israel",1,5,2024-04-29,2024-04-29
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-29","Israel",1,2,2024-04-29,2024-04-29
